@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
1E+15,-3.2220668,51.4842673,,,,,residential,,both,sidewalk
1E+15,-3.2215404,51.4887466,,,,,tertiary,,both,sidewalk
1E+15,-3.2309967,51.4859051,,,asphalt,,residential,,both,sidewalk
1E+15,-3.2190958,51.4868252,,,,,residential,,both,sidewalk
1E+15,-3.222474,51.4873807,,,,,residential,,both,sidewalk
1E+15,-3.2254338,51.4865092,,,,,residential,,both,sidewalk
1E+15,-3.2229117,51.4855995,,,,,residential,,both,sidewalk
1E+15,-3.2213626,51.4867373,,,,,residential,,both,sidewalk
1E+15,-3.2213594,51.484809,,,,,residential,,both,sidewalk
1E+15,-3.2211512,51.4844844,,,,,residential,,both,sidewalk
1E+15,-3.2244904,51.4867793,,,,,residential,,both,sidewalk
1E+15,-3.2235702,51.4854394,,,,,residential,,both,sidewalk
1E+15,-3.2196934,51.4875877,,,,,residential,,both,sidewalk
1E+15,-3.1852309,51.4764207,,,asphalt,,tertiary,,both,sidewalk
1E+15,-3.239986,51.4767441,,,,,residential,,both,sidewalk
1E+15,-3.2419719,51.4738994,,,,,residential,,left,sidewalk
1E+15,-3.2435022,51.4736399,,,,,residential,,both,sidewalk
1E+15,-3.2435424,51.4730467,,,,,residential,,both,sidewalk
1E+15,-3.2381674,51.4774392,,,,,residential,,both,sidewalk
1E+15,-3.2371696,51.4769587,,,,,residential,,both,sidewalk
1E+15,-3.2411184,51.4747543,,,,,residential,,both,sidewalk
1E+15,-3.2410194,51.4759797,,,,,residential,,both,sidewalk
1E+15,-3.2337838,51.4754282,,,,,residential,,left,sidewalk
1E+15,-3.2398001,51.4737353,,,,,residential,,both,sidewalk
1E+15,-3.2415777,51.4735755,,,,,residential,,both,sidewalk
1E+15,-3.2367919,51.4747483,,,,,residential,,both,sidewalk
1E+15,-3.2596341,51.4708248,,,,,residential,,left,sidewalk
1E+15,-3.24917,51.4711641,,,,,residential,,left,sidewalk
1E+15,-3.2535224,51.4699422,,,,,service,,right,sidewalk
1E+15,-3.2392258,51.4730559,,,,,residential,,no,sidewalk
1E+15,-3.2477549,51.4712928,,,,,residential,,no,sidewalk
1E+15,-3.2351691,51.4747252,,,,,residential,,both,sidewalk
1E+15,-3.2464342,51.4724173,,,,,residential,,both,sidewalk
1E+15,-3.229597,51.4834272,,,,,residential,,both,sidewalk
1E+15,-3.2295179,51.4834363,,,,,residential,,both,sidewalk
1E+15,-3.2283258,51.4817051,,,,,residential,,both,sidewalk
1E+15,-3.2288368,51.4813557,,,,,residential,,both,sidewalk
1E+15,-3.231903,51.4828174,,,,,residential,,both,sidewalk
1E+15,-3.2301297,51.4819764,,,,,residential,,both,sidewalk
1E+15,-3.2301297,51.4819764,,,,,residential,,both,sidewalk
1E+15,-3.2308044,51.4816252,,,,,residential,,both,sidewalk
1E+15,-3.2322182,51.4817471,,,,,residential,,both,sidewalk
1E+15,-3.2313311,51.4801591,,,,,residential,,both,sidewalk
1E+15,-3.2317647,51.4806018,,,,,residential,,both,sidewalk
1E+15,-3.232203,51.4800929,,,,,residential,,both,sidewalk
1E+15,-3.2320338,51.4804453,,,,,residential,,both,sidewalk
1E+15,-3.2333074,51.4811216,,,,,residential,,both,sidewalk
1E+15,-3.2338577,51.48123,,,,,residential,,left,sidewalk
1E+15,-3.2353406,51.4812261,,,,,residential,,left,sidewalk
1E+15,-3.2331192,51.4797462,,,,,residential,,both,sidewalk
1E+15,-3.2336167,51.4800843,,,,,residential,,both,sidewalk
1E+15,-3.2342843,51.479801,,,,,residential,,both,sidewalk
1E+15,-3.2359547,51.4805402,,,,,residential,,left,sidewalk
1E+15,-3.2363053,51.4809366,,,,,residential,,both,sidewalk
1E+15,-3.2381903,51.478645,,,,,residential,,both,sidewalk
1E+15,-3.23605,51.4796925,,,,,residential,,both,sidewalk
1E+15,-3.2355145,51.4799076,,,,,residential,,both,sidewalk
1E+15,-3.2357082,51.4798482,,,,,residential,,both,sidewalk
1E+15,-3.2346424,51.4734144,,,,,residential,,both,sidewalk
1E+15,-3.2341318,51.4737835,,,,,residential,,both,sidewalk
1E+15,-3.2345965,51.4736783,,,,,residential,,both,sidewalk
1E+15,-3.2410339,51.4821229,,,,,residential,,both,sidewalk
1E+15,-3.2357301,51.4834086,,,,,residential,,both,sidewalk
1E+15,-3.2349868,51.4835788,,,,,residential,,both,sidewalk
1E+15,-3.2347647,51.483206,,,,,residential,,no,sidewalk
1E+15,-3.2370446,51.4829912,,,,,residential,,both,sidewalk
1E+15,-3.2384216,51.4843711,,,,,residential,,both,sidewalk
1E+15,-3.23825,51.483336,,,,,residential,,left,sidewalk
1E+15,-3.2390907,51.4824958,,,,,residential,,both,sidewalk
1E+15,-3.2384551,51.4820944,,,,,residential,,both,sidewalk
1E+15,-3.2405035,51.4815772,,,,,residential,,both,sidewalk
1E+15,-3.2380357,51.4814971,,,,,residential,,both,sidewalk
1E+15,-3.2392527,51.4845528,,,,,residential,,both,sidewalk
1E+15,-3.2397854,51.4837261,,,,,residential,,both,sidewalk
1E+15,-3.240612,51.4832928,,,,,residential,,no,sidewalk
1E+15,-3.2424512,51.4838779,,,,,residential,,both,sidewalk
1E+15,-3.2416814,51.4829235,,,,,residential,,no,sidewalk
1E+15,-3.2439941,51.4825597,,,,,residential,,both,sidewalk
1E+15,-3.2432417,51.4816745,,,,,tertiary,,left,sidewalk
1E+15,-3.2454722,51.4802971,,,,,tertiary,,no,sidewalk
1E+15,-3.24445,51.4824002,,,,,residential,,left,sidewalk
1E+15,-3.2449738,51.4829551,,,,,residential,,both,sidewalk
1E+15,-3.2462493,51.4827903,,,,,residential,,no,sidewalk
1E+15,-3.2469397,51.4810725,,,,,residential,,both,sidewalk
1E+15,-3.2464259,51.4806529,,,,,residential,,both,sidewalk
